frame,255,R,G,B,0
0,290880.0,0.004238861386138614,0.009498762376237624,0.03645145764576457,0.0
1,290880.0,0.0004091034103410341,0.0055968096809680965,0.000966034103410341,290880.0
2,290880.0,0.0004056655665566557,0.0,0.000966034103410341,290880.0
3,290880.0,0.0,0.0,0.0,290880.0
4,18968.0,0.0,0.0,0.0,290880.0
5,16623.0,0.0,0.0,0.0,290880.0
6,21026.0,0.0,0.0,0.0,290880.0
7,20846.0,0.0,0.0,0.0,290880.0
8,8198.0,0.0,0.0,0.0,290880.0
9,8115.0,0.0,0.0,0.0,290880.0
10,13116.0,0.0,0.0,0.0,290880.0
11,16960.0,0.0,0.0,0.0,290880.0
12,18050.0,0.0,0.0,0.0,290880.0
13,16585.0,0.0,0.0,0.0,290880.0
14,16008.0,0.0,0.0,0.0,290880.0
15,9933.0,193.7880947469747,185.51086014851487,206.82259007150716,271912.0
16,10306.0,193.82954826732674,185.51579689218923,206.86308787128712,274257.0
17,7513.0,193.8088455720572,185.50878369086908,206.84139851485148,269854.0
18,4467.0,193.606999449945,185.49713283828382,206.71745737073707,270034.0
19,4144.0,193.598676430143,185.49620805830583,206.71345915841584,282682.0
20,4374.0,193.7504366061606,185.51166460396038,206.80978754125414,282765.0
21,4594.0,193.64793729372937,185.51991886688668,206.71391639163917,277764.0
22,4312.0,193.67695269526953,185.52203314081407,206.7345262651265,273920.0
23,3850.0,193.5393736248625,185.50641845434544,206.682525440044,272830.0
24,4198.0,193.60841240374037,185.49942244224422,206.7735457920792,274295.0
25,4206.0,193.49371218371837,185.49866611661167,206.65595434543454,274872.0
26,4393.0,193.50059818481847,185.485475110011,206.67978547854784,280947.0
27,4192.0,193.47318138063807,185.4912575632563,206.6503059680968,280574.0
28,3811.0,193.44294898239824,185.488424779978,206.63119499449945,283367.0
29,3533.0,193.41115236523652,185.491948569857,206.60589933993398,286413.0
30,3635.0,193.49568206820683,185.47424367436744,206.64239892739275,286736.0
31,3296.0,193.4587149339934,185.47463558855887,206.61583814631464,286506.0
32,3171.0,193.50982879537955,185.5209467821782,206.65245118261825,286286.0
33,3284.0,193.4398308580858,185.5129847359736,206.5930452420242,286568.0
34,2975.0,193.50146452145214,185.48724903740373,206.6700495049505,287030.0
35,2908.0,193.63410341034103,185.49318963146314,206.77168248074807,286682.0
36,3265.0,193.58494224422444,185.50109667216722,206.7298645489549,286674.0
37,276207.0,193.60137513751374,185.50284997249724,206.74512169966997,286487.0
38,275798.0,193.51156146864687,185.52010794829482,206.67721053355336,286688.0
39,276007.0,193.4812946919692,185.5246252750275,206.66860561056106,287069.0
40,275898.0,193.50896589658967,185.5290050880088,206.68509007150715,287347.0
41,275955.0,193.5045345159516,185.52756463146315,206.67726210121012,287245.0
42,275368.0,193.41831683168317,185.49820200770077,206.69043935643563,287584.0
43,272654.0,193.39684062156215,185.50017189218923,206.66720297029704,287709.0
44,270106.0,193.42531971947196,185.48255294279429,206.6710842959296,287596.0
45,259207.0,193.47151058855886,185.50313187568756,206.65737761276128,287905.0
46,254927.0,193.47706270627063,185.50012376237623,206.66611661166115,287972.0
47,249028.0,193.453523789879,185.49274614961496,206.6260107260726,287615.0
48,243263.0,193.4561365511551,185.49195544554456,206.6282143839384,14673.0
49,51150.0,193.4532797029703,185.4924986248625,206.62809405940595,15082.0
50,51694.0,193.40516707920793,185.47011138613863,206.632924229923,14873.0
51,51153.0,184.64276677667766,221.84314493949395,221.80782109460947,14982.0
52,58968.0,184.66119361936194,221.84566831683168,221.81777021452146,14925.0
53,64371.0,184.71247249724973,221.84875893839384,221.8536303630363,15512.0
54,75122.0,184.7119465071507,221.84323088558855,221.84983842134213,18226.0
55,82244.0,184.51323913641363,221.72278259075907,221.70573432343235,20774.0
56,89402.0,184.42357673267327,221.68912266226621,221.61678355335533,31673.0
57,90352.0,184.2899889988999,221.64854235423542,221.60367161716172,35953.0
58,95344.0,184.27115649064908,221.64503919141913,221.5921892189219,41852.0
59,95189.0,183.79572332233224,221.1786303630363,221.12441900440044,47617.0
60,94100.0,183.75563806380637,221.17672235973598,221.10401196369637,239730.0
61,94335.0,183.75568619361937,221.1773308580858,221.09684405940595,239186.0
62,93057.0,184.20981848184817,221.5598184818482,221.6168557480748,239727.0
63,93692.0,182.69489823982397,220.1559165291529,220.4528602860286,231912.0
64,91521.0,181.70253025302532,218.89940869086908,219.1906696919692,226509.0
65,90079.0,180.68239823982398,217.63297923542353,217.88861386138615,215758.0
66,89113.0,177.1634213421342,213.94935024752476,214.07245599559957,208636.0
67,87313.0,175.4080961221122,211.67760244774476,211.6319100660066,201478.0
68,85444.0,173.8514748349835,210.68505225522551,211.11465896589658,200528.0
69,84916.0,171.94424504950496,209.5981538778878,210.7312706270627,195536.0
70,82704.0,170.56120737073707,208.901275440044,211.06240374037404,195691.0
71,82417.0,170.28958333333333,208.87102241474147,211.35672786028604,196780.0
72,80682.0,170.53030115511552,209.95430418041803,212.6231263751375,196545.0
73,77558.0,168.58908140814083,208.6612898789879,211.20406009350936,197823.0
74,74667.0,168.59525921342134,208.6620805830583,211.20861867436744,197188.0
75,67581.0,168.00900715071506,207.97694238173818,210.47060643564356,199359.0
76,69047.0,168.01893220572057,207.97491749174918,210.48075151265127,200801.0
77,68481.0,168.83800192519251,208.6301051980198,211.01077764026402,201767.0
78,67401.0,168.83991336633665,208.6315353410341,211.00936812431243,203567.0
79,66942.0,169.20182549504952,209.0905390539054,211.33726278877887,205436.0
80,193067.0,169.209024339934,209.08629675467546,211.34614273927392,205964.0
81,191490.0,169.40236179867986,209.29206201870187,211.53695338283828,208176.0
82,191270.0,169.8037850660066,209.6266089108911,211.82635451045104,208463.0
83,191148.0,169.47751650165017,209.11616817931792,211.46451457645765,210198.0
84,190813.0,169.47936949944994,209.11633663366337,211.46526746424644,213322.0
85,190479.0,169.36204620462047,208.69611179867988,211.05215209020903,216213.0
86,190205.0,169.3394630088009,208.6913056930693,211.0438428217822,223299.0
87,189993.0,169.08154221672166,207.9773549229923,210.6147689768977,221833.0
88,189365.0,169.07758182068207,207.97715209020902,210.61243124312432,222399.0
89,183999.0,169.07955858085808,207.97783278327833,210.61313600110012,223479.0
90,182272.0,169.2288538228823,207.73205445544554,210.2764129537954,223938.0
91,175661.0,169.90427667766778,208.33432687018703,210.84264301430144,97813.0
92,165953.0,169.9033862761276,208.33330239273928,210.842474559956,99390.0
93,158650.0,169.90530459295928,208.32312637513752,210.84063531353135,99610.0
94,153264.0,175.99087252475246,212.16515057755777,218.27314700220023,99732.0
95,142736.0,176.05972222222223,212.16669760726072,218.30130638063807,100067.0
96,144666.0,176.03636551155117,212.15905871837182,218.282174779978,100401.0
97,139500.0,175.94939493949394,212.14508732123213,218.2894561331133,100675.0
98,131729.0,175.72243536853685,212.13358429592958,218.2435506050605,100887.0
99,134066.0,175.7806311881188,212.13695682068206,218.30525646314632,101515.0
100,128591.0,175.84693000550055,212.13498693619363,218.22789122662266,106881.0
101,121262.0,175.9253747249725,212.12873693619363,218.22625825082508,108608.0
102,32725.0,175.8590690319032,212.1154909240924,218.1377406490649,115219.0
103,32695.0,175.94046685918593,212.12419898239824,218.2095915841584,124927.0
104,32109.0,175.89840140264027,212.1388441969197,218.19834639713972,132230.0
105,33932.0,175.83972428492848,212.10597841034104,218.12994705720573,137616.0
106,33303.0,175.91806243124313,212.10905871837184,218.1916597909791,148144.0
107,34619.0,175.84466102860287,212.12406834433443,218.1629400440044,146214.0
108,34085.0,175.84151883938395,212.10359598459846,218.12539191419143,151380.0
109,35295.0,175.79349903740373,212.10390882838283,218.09126443894388,159151.0
110,34814.0,175.7422957920792,212.02847222222223,218.06473116061605,156814.0
111,35889.0,175.73068275577558,212.02833127062706,218.0551945819582,162289.0
112,35278.0,175.73555418041803,212.02798748624863,218.05857054455444,169618.0
113,35722.0,175.54902709020902,212.00585808580857,218.0264301430143,258155.0
114,35147.0,175.56367918041803,211.99970090759075,218.04243330583057,258185.0
115,36135.0,175.54325495049505,212.02947607260725,218.07717615511552,258771.0
116,35312.0,175.58101278877888,212.02298886138612,218.09787197469748,256948.0
117,36580.0,175.5928905390539,212.06931724422444,218.15264370187018,257577.0
118,35777.0,175.60254400440044,212.07067863036303,218.1509935368537,256261.0
119,38091.0,175.56887376237623,212.02914260176019,218.0620358910891,256795.0
120,37938.0,175.5985079757976,212.0217409240924,218.09012995049505,255585.0
121,37950.0,175.68670242024203,212.06248624862485,218.1339796479648,256066.0
122,37262.0,175.6952660891089,212.06467271727172,218.13838696369638,254991.0
123,220509.0,175.71852654015402,212.15538366336634,218.20555899339934,255602.0
124,219220.0,175.7446713421342,212.14967684268427,218.22638201320132,255158.0
125,220244.0,175.84268426842684,212.23322676017602,218.32985423542354,255733.0
126,221200.0,175.8617299229923,212.24258800880088,218.33883388338833,254745.0
127,222058.0,175.9086289878988,212.32210877337735,218.41062637513753,255568.0
128,221898.0,175.90954345434542,212.32220159515953,218.41332164466448,254300.0
129,221499.0,176.23596672167216,212.50976003850386,218.6108670242024,255103.0
130,221617.0,176.23260794829483,212.50852929042904,218.611702420242,252789.0
131,221319.0,176.47704207920793,212.5589796479648,218.6401608910891,252942.0
132,221176.0,176.48736592409242,212.5606745049505,218.6427186468647,252930.0
133,221537.0,176.58000206270626,212.08607673267326,218.1821782178218,253618.0
134,221430.0,176.64541391639165,211.93241886688668,218.0390160891089,70371.0
135,221118.0,176.73088215071508,211.9751512651265,218.07446713421342,71660.0
136,220862.0,176.75128231573157,211.90080445544555,218.03830445544554,70636.0
137,221327.0,131.60562775027503,195.5868399339934,205.97718303080308,69680.0
138,225341.0,131.48788160066007,195.39101347634764,205.88583264576457,68822.0
139,229103.0,131.874027090209,195.35371287128712,205.6549092409241,68982.0
140,226947.0,132.6876959570957,195.5129641089109,205.57163435093508,69381.0
141,227290.0,133.11586564906492,195.24618055555555,205.51581064356435,69263.0
142,225847.0,132.9397242849285,195.1575907590759,205.37901883938395,69561.0
143,224413.0,132.6131635038504,194.12540910341033,205.13149064906492,69704.0
144,231446.0,132.5667216721672,193.93132219471948,205.04476760176019,69343.0
145,227511.0,135.01000756325632,193.95266776677667,205.0716137238724,69450.0
146,225203.0,135.0781043729373,194.00476141364138,205.11565937843784,69762.0
147,223209.0,136.5790257150715,194.12606916941695,205.50082164466446,70018.0
148,211673.0,136.56471397139714,194.1119086908691,205.48821507150714,69553.0
149,206248.0,137.0067347359736,195.67067175467548,207.45186331133112,65539.0
150,204869.0,137.0115717821782,195.88524477447746,207.51206339383938,61777.0
151,203448.0,136.39289741474147,196.10520489548955,208.20509832233222,63933.0
152,202353.0,138.61114892739275,197.39300742574258,210.2088043179318,63590.0
153,201434.0,141.5611626787679,196.3856745049505,209.00243399339934,65033.0
154,199768.0,137.74189700220023,194.3442312981298,208.58828382838283,66467.0
155,197860.0,137.8953142189219,193.40590621562157,206.934725660066,59434.0
156,138000.0,137.85036097359736,193.20399133663366,206.83298267326734,63369.0
157,120696.0,137.89809887238724,193.1952248349835,206.87159997249725,65677.0
158,109865.0,136.0400268151815,190.63944238173818,204.11422923542355,67671.0
159,101781.0,135.8138888888889,192.10979785478548,203.9010347909791,79207.0
160,239796.0,135.81341446644663,192.11015882838285,203.8995358910891,84632.0
161,206328.0,135.8141054730473,192.11052667766776,203.89558237073706,86011.0
162,236191.0,135.5917938668867,193.79309680968097,204.0805899339934,87432.0
163,235666.0,135.87153121562156,195.1589968371837,204.4656662541254,88527.0
164,234275.0,135.8710121012101,195.16000412541254,204.46261688668866,89446.0
165,232269.0,135.8714555830583,195.1598356710671,204.46328726622662,91112.0
166,233006.0,135.7137101210121,195.20065662816282,204.68312706270626,93020.0
167,230658.0,135.86265126512652,195.29580583058305,204.79058718371837,152880.0
168,231818.0,135.85757700770077,195.29813668866888,204.77818344334435,170184.0
169,231207.0,135.67857191969196,194.9761035478548,204.56508525852584,181015.0
170,229980.0,135.65138201320133,194.95463765126513,204.54681999449946,189099.0
171,229774.0,135.6504228547855,194.9545963971397,204.54496699669966,51084.0
172,229604.0,135.8752819031903,194.94384282178217,204.3917698019802,84552.0
173,228760.0,135.8767395489549,194.945073569857,204.3943000550055,54689.0
174,228556.0,157.30221053355336,182.82102585258525,191.5122799779978,55214.0
175,228181.0,156.94759350935092,182.98412747524753,191.5704689218922,56605.0
176,227872.0,156.94481573157316,182.98435093509352,191.56761551155117,58611.0
177,227358.0,156.95822332233223,182.9857157590759,191.58632769526952,57874.0
178,227025.0,156.38507288228823,182.94684405940595,191.7422786028603,60222.0
179,226773.0,156.18590484048406,182.94353341584159,191.92375550055004,59062.0
180,225409.0,157.17140745324534,183.51383388338834,191.97907384488448,59673.0
181,223006.0,157.18423748624863,183.51317381738173,191.99038091309131,60900.0
182,218995.0,157.48292766776677,183.5444960121012,191.72974766226622,61106.0
183,213722.0,157.75684130913092,183.64066625412542,191.70733635863587,61276.0
184,210375.0,157.7493846259626,183.63957989548956,191.7020214521452,62120.0
185,208335.0,157.86451457645765,183.636925880088,191.64754194169416,62324.0
186,206708.0,158.07659172167217,183.70270214521452,191.3658243949395,62699.0
187,204033.0,158.09930211771177,183.6996252750275,191.38343303080308,63008.0
188,201464.0,158.0914844609461,183.916501650165,191.42985767326732,63522.0
189,199728.0,158.10394664466446,183.91980885588558,191.44662059955996,63855.0
190,197220.0,158.0900336908691,183.92965484048406,191.43685024752475,64107.0
191,195108.0,158.10890401540155,183.94119224422442,191.45910341034104,65471.0
192,192747.0,157.8935540429043,183.9398102310231,191.62636826182617,67874.0
193,190172.0,157.8820819581958,183.92791529152916,191.61222153465346,71885.0
194,186070.0,157.8984839108911,183.91175742574256,191.61954757975798,77158.0
195,182780.0,157.85688600110012,183.71440456545653,191.5251512651265,80505.0
196,177833.0,157.85784172167217,183.7132253850385,191.52926292629263,82545.0
197,173470.0,158.07829001650165,183.70498143564356,191.35805830583058,84172.0
198,164910.0,158.09842546754675,183.70350660066006,191.37172373487348,86847.0
199,155928.0,158.01125550055005,183.55198707370738,191.1703176567657,89416.0
200,158713.0,158.0118227447745,183.55231710671066,191.17057205720573,91152.0
201,155990.0,158.04646589658967,183.66134488448844,191.22785341034103,93660.0
202,67326.0,157.98390745324534,183.71044416941695,191.17978204070408,95772.0
203,65527.0,157.95249587458747,183.69180418041805,191.13700151265127,98133.0
204,66902.0,157.7374724972497,183.68687431243126,191.3116405390539,100708.0
205,68793.0,157.7359357810781,183.68400715071508,191.31882907040705,104810.0
206,66044.0,157.8163710121012,183.67928011551155,191.36959570957094,108100.0
207,63112.0,157.84958745874587,183.5651643289329,191.34000618811882,113047.0
208,62284.0,157.86207714521453,183.56569719471946,191.34651402640264,117410.0
209,57359.0,157.82320544554455,183.64619430693068,191.4147036578658,125970.0
210,56802.0,158.04996218371838,183.63884075907592,191.25556243124313,134952.0
211,56110.0,158.10633594609462,183.70888338833885,191.36996699669967,132167.0
212,53231.0,158.1019801980198,183.70985286028602,191.367474559956,134890.0
213,52119.0,158.10379537953796,183.70868055555556,191.38118811881188,223554.0
214,51921.0,158.00437637513753,183.95829207920792,191.77878162816282,225353.0
215,51491.0,157.76911441144114,183.92968921892188,191.97738586358636,223978.0
216,51161.0,157.79507700770077,183.92484185918593,192.0049298679868,222087.0
217,49100.0,157.6957955170517,183.9288950770077,192.10141982948295,224836.0
218,49289.0,157.4230198019802,184.08564700220023,192.43431655665566,227768.0
219,49138.0,157.03617299229924,184.03005363036303,192.2176464521452,228596.0
220,49317.0,157.0328795379538,183.8307205720572,192.14279771727172,233521.0
221,49430.0,157.022975110011,183.83108498349836,192.12325357535752,234078.0
222,49189.0,157.01242436743675,183.8405184268427,192.1173404840484,234770.0
223,49156.0,157.0147449119912,183.86629881738173,192.10566556655667,237649.0
224,48765.0,157.21660134763476,183.83652709020902,191.941900440044,238761.0
225,48632.0,157.39417285478547,183.90883182068208,192.13344334433444,238959.0
226,48556.0,157.38953520352035,184.11459364686468,192.17985423542353,239389.0
227,48303.0,157.38130156765678,184.0627887788779,192.155277090209,239719.0
228,47867.0,157.35996974697468,184.06103204070408,192.1350316281628,241780.0
229,47808.0,157.39124724972498,184.0581648789879,192.15407728272828,241591.0
230,47595.0,157.1613551980198,184.02491405390538,192.3081614411441,241742.0
231,47411.0,157.1640882838284,184.02476622662266,192.31034790979098,241563.0
232,47431.0,157.10757356985698,184.03063806380638,192.2677839658966,241450.0
233,46906.0,157.09973872387238,183.93040429042904,192.24948776127613,241691.0
234,46828.0,157.0045998349835,183.79179730473047,192.10222772277228,241724.0
235,46527.0,157.03023239823983,183.84336496149615,192.11251031353135,242115.0
236,46061.0,157.25458608360836,183.83329207920792,191.9593509350935,242248.0
237,45587.0,157.25628781628163,183.8330101760176,191.9600110011001,242324.0
238,45212.0,157.29180761826183,183.83614548954895,192.01915222772277,242577.0
